Branch ID,Region,Site Type,Alert Tier,Mean Forecast p80,Peak Forecast p80,Peak Date,Pct Days Over SLA
#149,Central,External,High,34.8,43.5,2025-12-08,100.0
#003,Central,External,High,33.6,43.5,2025-12-08,93.3
#044,Central,Internal,High,29.0,50.0,2026-01-05,66.7
#076,Central,Internal,High,27.8,50.2,2025-12-01,63.3
#206,East,External,High,27.0,39.0,2025-12-01,56.7
#074,East,Internal,Low,9.6,27.5,2025-12-02,6.7
#104,East,Internal,Low,11.0,36.8,2025-12-01,6.7
#189,Central,External,Low,14.1,28.6,2026-01-02,6.7
#191,Central,Internal,Low,9.4,35.0,2025-12-02,6.7
#193,Central,Internal,Low,17.3,25.8,2026-01-05,6.7
#021,West,Internal,Low,0.9,1.1,2025-08-26,0.0
#022,Central,Internal,Low,3.2,3.4,2024-11-15,0.0
#023,East,Internal,Low,2.1,2.3,2024-11-04,0.0
#024,Central,Internal,Low,4.8,8.6,2025-12-01,0.0
#033,East,External,Low,6.4,8.4,2025-12-26,0.0
#048,West,Internal,Low,2.0,2.2,2025-11-07,0.0
#050,Central,Internal,Low,3.9,4.1,2024-02-26,0.0
#055,West,External,Low,1.9,2.9,2025-12-01,0.0
#059,East,Internal,Low,4.8,5.0,2024-05-07,0.0
#065,East,External,Low,3.7,4.9,2025-12-02,0.0
#067,East,External,Low,5.6,7.2,2025-12-22,0.0
#073,West,External,Low,11.8,19.0,2025-12-29,0.0
#075,East,Internal,Low,4.7,5.4,2025-06-30,0.0
#078,Central,Internal,Low,5.7,14.1,2025-05-16,0.0
#079,East,External,Low,4.9,8.1,2025-12-01,0.0
#090,East,Internal,Low,12.1,19.2,2025-12-26,0.0
#091,East,External,Low,4.2,10.3,2025-12-01,0.0
#098,East,Internal,Low,2.0,2.6,2025-11-11,0.0
#103,West,Internal,Low,1.2,1.5,2024-11-05,0.0
#126,West,External,Low,2.3,4.4,2025-12-05,0.0
#127,Central,Internal,Low,2.1,2.5,2024-11-05,0.0
#132,West,Internal,Low,3.5,4.8,2025-12-04,0.0
#135,West,Internal,Low,3.0,4.2,2025-12-01,0.0
#136,West,External,Low,2.7,4.4,2025-12-05,0.0
#138,East,External,Low,15.7,22.1,2026-01-02,0.0
#140,West,External,Low,4.0,10.2,2025-12-01,0.0
#146,East,Internal,Low,2.0,2.3,2025-12-22,0.0
#147,East,External,Low,3.9,6.3,2025-12-01,0.0
#158,West,External,Low,2.3,3.9,2025-12-05,0.0
#160,East,External,Low,1.9,2.2,2024-11-15,0.0
#161,West,Internal,Low,4.3,4.6,2025-10-02,0.0
#162,East,Internal,Low,3.2,3.7,2025-11-28,0.0
#164,East,Internal,Low,2.0,2.3,2025-12-22,0.0
#167,West,Internal,Low,4.6,5.0,2025-06-30,0.0
#174,Central,Internal,Low,4.0,6.3,2025-11-26,0.0
#176,Central,Internal,Low,5.3,6.0,2024-03-28,0.0
#180,West,External,Low,11.7,16.4,2025-12-29,0.0
#184,West,Internal,Low,3.7,6.5,2025-12-05,0.0
#185,West,Internal,Low,13.5,20.1,2025-12-29,0.0
#190,East,Internal,Low,5.3,9.4,2025-02-14,0.0
#195,West,Internal,Low,3.8,5.7,2025-12-04,0.0
#197,Central,Internal,Low,4.2,7.3,2025-12-01,0.0
#198,West,Internal,Low,0.7,0.9,2025-11-10,0.0
#203,West,Internal,Low,4.6,10.8,2025-12-02,0.0
#204,West,External,Low,6.9,11.2,2025-12-22,0.0
#207,West,Internal,Low,1.8,2.2,2025-12-22,0.0
#211,West,Internal,Low,7.0,9.2,2026-01-09,0.0
#214,Central,External,Low,12.4,15.5,2025-12-29,0.0
#218,East,External,Low,2.2,2.4,2025-10-17,0.0
#056,West,Internal,Medium,25.7,42.7,2026-01-02,46.7
#156,West,External,Medium,21.3,36.5,2026-01-02,30.0
#060,Central,Internal,Medium,21.6,33.3,2026-01-02,16.7
#064,Central,Internal,Medium,18.0,31.2,2026-01-01,16.7
#082,Central,Internal,Medium,16.8,27.2,2026-01-02,13.3
